|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| STUDENT_NAME | STUDENT_AGE | STUDENT_CLASS | HASPAIDPARTIALLY | HASPAIDFULLY | SUBJECTS                            | FAKE_SCORES     | NEWCOLUMN | UNIQUE_ID |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| Mary         |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         1 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| PHILIP       |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         2 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| PETER        |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         3 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| bolaji       |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         4 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| tolani       |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         5 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| tolani       |          20 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         6 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| tolani       |          25 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         7 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| tolani       |          25 | ss3           | null             | true         | ["English","Mathematics","Physics"] | (100,70,60,40,) | null      |         8 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| Person       |          20 | null          | null             | null         | null                                | null            | null      |         9 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| Person       |           2 | null          | null             | null         | null                                | null            | null      |        10 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| New person   |          20 | null          | null             | null         | null                                | null            | null      |        11 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
| A name       |          20 | null          | null             | null         | null                                | null            | null      |        12 |
|--------------|-------------|---------------|------------------|--------------|-------------------------------------|-----------------|-----------|-----------|
